epoch,loss,val_loss
0,0.05509018898010254,0.09436521679162979
1,0.03834792599081993,0.053948696702718735
2,0.03354690596461296,0.0420537106692791
3,0.02892199717462063,0.037960756570100784
4,0.02606855146586895,0.03765889257192612
5,0.023735908791422844,0.038358092308044434
6,0.021518560126423836,0.03894065320491791
7,0.02035917527973652,0.03798116743564606
8,0.018499448895454407,0.038848258554935455
9,0.016409315168857574,0.03744415566325188
10,0.015011325478553772,0.039553746581077576
11,0.013675561174750328,0.03990308567881584
12,0.012972645461559296,0.039251163601875305
13,0.01214686967432499,0.03987254574894905
14,0.011154638603329659,0.03937366604804993
15,0.010543428361415863,0.03876730427145958
16,0.009881717152893543,0.039500750601291656
17,0.009145763702690601,0.039119113236665726
18,0.00875447504222393,0.04066185653209686
19,0.008655271492898464,0.04273981600999832
20,0.00832305382937193,0.038726575672626495
21,0.00813656859099865,0.04068158194422722
22,0.007665404584258795,0.03925905004143715
23,0.0075086927972733974,0.04171453043818474
24,0.007281667552888393,0.03966381773352623
