epoch,acc,loss,val_acc,val_loss
0,0.4714285731315613,68.4228744506836,0.6666666865348816,14.10014820098877
1,0.5285714268684387,30.340646743774414,0.4833333194255829,26.53589630126953
2,0.6000000238418579,16.040634155273438,0.6333333253860474,11.040111541748047
3,0.6428571343421936,9.93934154510498,0.7333333492279053,4.833993911743164
4,0.6642857193946838,9.467662811279297,0.75,4.015728950500488
5,0.6499999761581421,8.216017723083496,0.7666666507720947,3.382772922515869
6,0.6571428775787354,5.6127400398254395,0.5,8.018996238708496
7,0.6785714030265808,4.796996593475342,0.6333333253860474,4.335976600646973
8,0.7071428298950195,5.155500411987305,0.7166666388511658,4.228001117706299
9,0.7142857313156128,3.945870876312256,0.6333333253860474,3.47013521194458
10,0.7214285731315613,5.267372131347656,0.6333333253860474,3.810135841369629
11,0.7571428418159485,1.586954116821289,0.6000000238418579,1.4228236675262451
12,0.7142857313156128,0.895177960395813,0.7166666388511658,0.8677293062210083
13,0.6928571462631226,0.8339049816131592,0.6833333373069763,1.4053171873092651
14,0.7428571581840515,0.5773406624794006,0.5833333134651184,1.0261956453323364
15,0.7714285850524902,0.4793238043785095,0.7166666388511658,1.3912360668182373
16,0.7928571701049805,0.555200457572937,0.6499999761581421,1.2274744510650635
17,0.6857143044471741,0.6181696653366089,0.5833333134651184,1.5000909566879272
18,0.7785714268684387,0.5750629305839539,0.6333333253860474,1.235233187675476
19,0.6857143044471741,0.7331270575523376,0.6333333253860474,1.0837956666946411
20,0.8428571224212646,0.4049868583679199,0.6666666865348816,1.4921965599060059
21,0.8642857074737549,0.5101192593574524,0.6833333373069763,0.648168683052063
22,0.8571428656578064,0.5670982003211975,0.6000000238418579,0.9827262163162231
23,0.8285714387893677,0.7079018950462341,0.6833333373069763,1.2164844274520874
24,0.8357142806053162,0.6199159026145935,0.6166666746139526,0.6639788746833801
25,0.7214285731315613,0.6523230671882629,0.6666666865348816,1.6895725727081299
26,0.8285714387893677,0.5323174595832825,0.5666666626930237,0.6640151143074036
27,0.7285714149475098,0.5392053127288818,0.6499999761581421,1.744197130203247
28,0.8785714507102966,0.49714720249176025,0.6333333253860474,1.8160688877105713
29,0.7785714268684387,0.5759217739105225,0.6833333373069763,1.5250047445297241
30,0.9071428775787354,0.33789780735969543,0.6666666865348816,1.7127207517623901
31,0.8357142806053162,0.49007901549339294,0.6499999761581421,0.7440381646156311
32,0.8857142925262451,0.48017042875289917,0.6666666865348816,1.4208910465240479
33,0.8714285492897034,0.3942308723926544,0.6499999761581421,1.665345311164856
34,0.8928571343421936,0.4063773453235626,0.6666666865348816,1.0426043272018433
35,0.8999999761581421,0.43830856680870056,0.6666666865348816,0.7380890250205994
